Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
,,,45.96006144,25.50315098,21.09984639,25.93241245,19.56129032,9.129297261,2.929185868,1.958345247,6.69984639,4.213467416,0.42609063,0.102890619,0.631797235,0.655968805,1.869892473,1.747882188,2.297388633,1.743676735,4.831797235,3.491588089,0.458534562,0.108242846,0.471364055,0.103550261,1.310291859,1.22564962,1.769431644,1.527653651,0.695043011,0.20568401,0.8546851,0.796698196,2.500460829,1.662606786,3.350076805,2.333135064,1.814285714,1.777291432,0.633179724,0.429209144,0.356528418,0.425820031,1.134562212,0.776216019,1.687557604,0.734144417,7.797542243,5.324208293
